name	sample_age	pop	node_id	left	right	length
EUR_22	30000	EUR	47	56154753	56456899	302146
EUR_22	30000	EUR	47	57911111	58101764	190653
EUR_22	30000	EUR	47	66909837	67115358	205521
EUR_22	30000	EUR	47	67195790	67252414	56624
EUR_22	30000	EUR	47	71200307	71305474	105167
EUR_22	30000	EUR	47	79060796	79061760	964
EUR_22	30000	EUR	47	81033792	81054615	20823
EUR_22	30000	EUR	47	94855452	95182650	327198
EUR_22	30000	EUR	47	97353135	97400833	47698
EUR_23	30000	EUR	48	13335140	13576509	241369
EUR_23	30000	EUR	48	14004476	14067366	62890
EUR_23	30000	EUR	48	17474176	17507364	33188
EUR_23	30000	EUR	48	24635733	24703331	67598
EUR_23	30000	EUR	48	25340378	25367487	27109
EUR_23	30000	EUR	48	32147538	32159292	11754
EUR_23	30000	EUR	48	38563900	38741562	177662
EUR_23	30000	EUR	48	41212821	41832129	619308
EUR_23	30000	EUR	48	42938279	43314595	376316
EUR_23	30000	EUR	48	48761600	48840681	79081
EUR_23	30000	EUR	48	52980278	53058907	78629
EUR_23	30000	EUR	48	61625688	61832094	206406
EUR_23	30000	EUR	48	71548511	71644796	96285
EUR_23	30000	EUR	48	78087158	78261815	174657
EUR_23	30000	EUR	48	83537886	83598199	60313
EUR_23	30000	EUR	48	89696605	89890534	193929
EUR_23	30000	EUR	48	93059296	93172815	113519
EUR_23	30000	EUR	49	20815161	20927679	112518
EUR_23	30000	EUR	49	25340595	25724210	383615
EUR_23	30000	EUR	49	36606592	36611497	4905
EUR_23	30000	EUR	49	39857453	39967328	109875
EUR_23	30000	EUR	49	42938279	43433372	495093
EUR_23	30000	EUR	49	53814670	53821819	7149
EUR_23	30000	EUR	49	58219771	58269219	49448
EUR_23	30000	EUR	49	60994045	61353870	359825
EUR_23	30000	EUR	49	67074296	67115358	41062
EUR_23	30000	EUR	49	77809606	77913721	104115
EUR_23	30000	EUR	49	78946345	78966457	20112
EUR_23	30000	EUR	49	82295543	82330872	35329
EUR_23	30000	EUR	49	89707638	89890534	182896
EUR_23	30000	EUR	49	91373506	91444043	70537
EUR_23	30000	EUR	49	92923691	92938712	15021
EUR_23	30000	EUR	49	98071080	98185223	114143
EUR_24	30000	EUR	50	552966	568870	15904
EUR_24	30000	EUR	50	849297	851649	2352
EUR_24	30000	EUR	50	1143789	1209488	65699
EUR_24	30000	EUR	50	11227625	11449613	221988
EUR_24	30000	EUR	50	24830708	24848340	17632
EUR_24	30000	EUR	50	25110500	25367487	256987
EUR_24	30000	EUR	50	25925277	25943374	18097
EUR_24	30000	EUR	50	40659645	40676315	16670
EUR_24	30000	EUR	50	42957655	43433372	475717
EUR_24	30000	EUR	50	43870728	44091763	221035
EUR_24	30000	EUR	50	50571433	50767688	196255
EUR_24	30000	EUR	50	51330865	51412164	81299
EUR_24	30000	EUR	50	53933314	54085932	152618
EUR_24	30000	EUR	50	61681367	61892274	210907
EUR_24	30000	EUR	50	68429789	68880630	450841
EUR_24	30000	EUR	50	71200307	71305474	105167
EUR_24	30000	EUR	50	78087158	78261815	174657
EUR_24	30000	EUR	50	82295543	82330872	35329
EUR_24	30000	EUR	50	84274384	84307244	32860
EUR_24	30000	EUR	50	89321769	89449746	127977
EUR_24	30000	EUR	50	94799323	94816641	17318
EUR_24	30000	EUR	50	96430709	96493851	63142
EUR_24	30000	EUR	50	98224591	98274472	49881
EUR_24	30000	EUR	51	1093861	1515718	421857
EUR_24	30000	EUR	51	8700955	8792092	91137
EUR_24	30000	EUR	51	13103822	13216479	112657
EUR_24	30000	EUR	51	14004476	14067366	62890
EUR_24	30000	EUR	51	14535540	14550699	15159
EUR_24	30000	EUR	51	15122595	15279357	156762
EUR_24	30000	EUR	51	17878950	18363832	484882
EUR_24	30000	EUR	51	23283162	23429319	146157
EUR_24	30000	EUR	51	28812235	28855468	43233
EUR_24	30000	EUR	51	37973637	37994542	20905
EUR_24	30000	EUR	51	39617781	39818924	201143
EUR_24	30000	EUR	51	41802125	41832129	30004
EUR_24	30000	EUR	51	43757393	43831210	73817
EUR_24	30000	EUR	51	48586279	48594511	8232
EUR_24	30000	EUR	51	48761600	48960342	198742
EUR_24	30000	EUR	51	53409845	53513745	103900
EUR_24	30000	EUR	51	54116774	54127819	11045
EUR_24	30000	EUR	51	58155828	58221664	65836
EUR_24	30000	EUR	51	70984419	70995320	10901
EUR_24	30000	EUR	51	71548511	71596332	47821
